,,,"Appendix 1. Details of reported baleen whale injury events along the Gulf of Mexico, US East Coast and Atlantic Canadian provinces, 2019-2023. Assignment of Serious Injury (SI) criteria, SI values and List of Fisheries (LOF) inclusion follow the guidance established by NMFS Instruction 02-038-01.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Date,Individual,Location,Cause of Injury,Country of Origin,Country ID method,Gear Type,Description,"Initial 
SI criteria",Final SI critieria,SI value,SI value changes ,LOFa,
56,HUWH,E07-19,09-Jun-19,Mostaza,"11.5 nm N of Race Point, Provincetown, MA",Entangled,USA,Fresh injury or known location,Unknown,Free-swimming with thin line over right fluke. Attachment point(s) unknown. Shed gear during observation. Resights indicate healing.,L10,L10,0,Gear-free,Yes,
57,HUWH,E08-19,24-Jun-19,Krakatoa,"11.8 nm E of Chatham, MA",Entangled,Unknown First seen USA,-,Unknown,"Free-swimming with constricting line across back. Partial disentanglement, but final configuration unknown. Evidence of significant health decline—thin with moderate cyamid load. No resights.",L2,L10,1,Health decline,Yes,
58,HUWH,-,07-Jul-19,-,"1 nm off Napeague, NY",Vessel strike,USA,Fresh injury or known location,-,Struck by 48 ft. vessel traveling at 20 kn. Blood seen in water and rudder damaged. No resights.,"L6b, L11","L6b, L11",0.52,-,-,
59,HUWH,E11-19,11-Jul-19,New Jersey,"200 ft S of Manchester, MA",Entangled,Unknown First seen USA,-,Net,"Caught outside of a set net with netting and floats over the back and dorsal fin, full configuration unknown. Resights confirm gear-free and healing.",L10,L10,0,Gear-free,Yes,
60,HUWH,E13-19,15-Jul-19,-,"12 mi NE of Shinnecock Inlet, Long Island, NY",Entangled,USA,Gear identified,Gillnet,Anchored but broke out of gear. All gear recovered. No resights.,L2,L10,0,Gear-free,Yes,
61,HUWH,"E14-19, MARS2019-234",22-Jul-19,-,"6.3 nm E of Kingsburg, NS",Entangled,Unknown First seen Canada,-,Unknown,Free-swimming with line and buoy trailing past flukes. Partial disentanglement by public. Final configuration unknown. No resights.,L10,L10,0.75,-,Yes,
62,HUWH,E15-19,24-Jul-19,Not named,"7 nm E of Gloucester, MA",Entangled,USA,Fresh injury or known location,Monofilament,Dependent calf. Free-swimming with monofilament on right flipper. Attachment point(s) unknown. Resights confirm gear-free and healing.,L10,L10,0,Gear-free,Yes,
63,HUWH,E16-19,26-Jul-19,-,"4.5 nm E of Sea Isle City, NJ",Entangled,USA,Gear identified,Pot/trap,Appeared anchored with line wrapped around body and buoy near flipper. Remaining configuration unknown. Confirmed to have shed gear. No additional resights.,L2,L2,0,Gear-free,Yes,
64,HUWH,E17-19,29-Jul-19,Nike,"16.1 nm E of Newburyport, MA",Entangled,USA,Fresh injury or known location,Hook/Monofilament,Free-swimming with hook attached to leading edge of left fluke blade and monofilament trailing. No wraps. Resights confirm shed gear and healing.,"L3, L4","L3, L4",0,-,-,
65,HUWH,E19-19,31-Jul-19,Komodo,"11.4 nm SE of Montauk, NY",Entangled,Unknown First seen USA,-,Hook,Free-swimming with fishing lure lodged just below the right side of its dorsal fin. No line present. Resights confirm gear-free and injury healing.,L4,L4,0,-,-,
66,HUWH,E21-19,05-Aug-19,Nile,"7.4 nm NW of Race Point, Provincetown, MA",Entangled,USA,Fresh injury or known location,Monofilament,"Free-swimming with monofilament trailing off flukes. Attachment point(s) forward on the body, full configuration unknown. Resights confirm gear-free and reproductively successful.",L10,L10,0,Gear-free,Yes,
67,HUWH,-,06-Aug-19,-,"Ocean City, MD",Entangled,Unknown First seen USA,-,Unknown,"No gear visible, but evidence of extensive, constricting entanglement with subsequent health decline. No resights post-10-Aug-2019.",L2,L2,1,-,-,
68,HUWH,E23-19,15-Aug-19,Cashew,"1.4 nm E of Chatham, MA",Entangled,USA,Gear identified,Pot/trap,"Free-swimming with line through the mouth—line exiting right mouthline crossed over the head just aft of blowholes and twisting together with line exiting left mouthline. Unclear if constricting but likely to become so. Left line ended at buoy, right line ended at gangion. Disentangled. Injuries healing until subsequent entanglement (see 03-Jun-2020 event).",L2,n/a,0,Rescue,Yes,
69,HUWH,-,22-Aug-19,Molten,"Raritan Bay, NJ",Unknown anthropgenic,Unknown First seen USA,-,-,"Large, raw, injuries bisecting both fluke blades. Human-caused, but no expert consensus on source. Limited resights show increased cyamid load. Carcass documented on 09-Oct-2019, but no necropsy conducted to determine CODd. Event added in 2018-2022 report. Value against PBR in Table 5 apportioned as 0.5 entanglement and 0.5 vessel strike.","L10, L11","L10, L11",1,Health decline,-,
70,HUWH,E24-19,26-Aug-19,Zorro,"Provincetown Harbor, MA",Entangled,USA,Fresh injury or known location,Unknown,Free-swimming with buoy near left flipper. Attachment point(s) unknown. No resights post-19-Oct-2019.,L10,L10,0.75,-,Yes,
71,HUWH,E26-19,03-Sep-19,Not named,"1.4 nm W of North Truro, MA",Entangled,Unknown First seen USA,-,Unknown,"Free-swimming with line over back and buoy close to body. Attachment point(s) unknown. Confirmed shed gear. New vessel strike injury also seen (see 03-Sep-2019 event below). Carcass found 14-Nov-2019, no COD determined. ",L10,L10,0,Gear-free,Yes,
72,HUWH,-,03-Sep-19,Not named,"1.4 nm W of North Truro, MA",Vessel strike,Unknown First seen USA,-,-,"New, minor, healing propeller lacerations. Also carrying gear (see 03-Sep-2019 event above). Carcass found 14-Nov-2019, no COD determined.",L5b,L5b,0,-,-,
73,HUWH,-,03-Sep-19,-,"13.6 nm SW of Nantucket, MA",Entangled,Unknown First seen USA,-,Unknown,"No gear present, but evidence of extensive, recent, constricting entanglement. Healing injuries on head, body, peduncle, and fluke insertion wraps. No resights.",L2,L2,0,Healing,-,
74,HUWH,E28-19,10-Sep-19,Nuke,"20.3 nm SE of Gloucester, MA",Entangled,USA,Gear Identified,Anchor system,"Free-swimming with anchoring system through the mouth—buoy line exiting the right mouthline and anchor line out the left. Full configuration unclear. Partial disentanglement—left with clean length of line through mouth or line with anchor portion, either of which likely to shed. Resights confirm gear-free and healing.",L10,L3,0,Rescue,Yes,
75,HUWH,E29-19,10-Sep-19,Doric,"8.3 nm NW of Race Point, Provincetown, MA",Entangled,USA,Fresh injury or known location,Monofilament,Free-swimming with monofilament trailing from right fluke blade. Attachment point(s) unknown. Resights confirm gear-free and reproductively successful.,L10,L10,0,Gear-free,Yes,
76,HUWH,MARS2019-319,26-Sep-19,-,"Nancy Head, Campobello, NB",Entrapped,Canada,Gear Identified,Weir,Free-swimming in weir without netting. Released. No resights.,L10,n/a,0,Release,-,
77,HUWH,E31-19,04-Oct-19,-,"2.2 nm W of North Truro, MA",Entangled,USA,Gear identified,Pot/trap,"Free-swimming but dragging gear with a constricting wrap around head/body. Partial disentanglement—left with loose configuration that appears to have shed, but unable to confirm. No resights.",L2,L3,0,Rescue,Yes,
78,HUWH,E32-19,07-Oct-19,Diablo,"20.5 nm SE of Gloucester, MA",Entangled,Unknown First seen USA,-,Monofilament,Free-swimming with short length of loose monofilament on right fluke tip. Resights confirm gear-free and healing.,L3,L3,0,-,-,
79,HUWH,E33-19,24-Oct-19,-,"14.4 nm SE of Ocean City, MD",Entangled,USA,Gear identified,Gillnet,Free-swimming with 2 buoys near flukes and remaining configuration unclear. Partial disentanglement. Final configuration unknown. No resights.,L10,L10,0.75,-,Yes,
80,HUWH,E34-19,02-Dec-19,Kansas,"6.2 nm N of Brier Island, NS",Entangled,Canada,Gear identified,Pot/trap,Anchored by tail. Partial disentanglement—free-swimming with balloon at left flipper and buoy along right side. Remaining gear later found adrift. Resights indicate healing.,L2,L10,0,"Rescue, Gear-free",-,
81,HUWH,-,29-May-20,Not named,"0.1 nm NE of Highlands, NJ",Vessel strike,USA,Fresh injury or known location,-,Vessel <65 ft. and traveling <10 kn. witnessed striking animal along left flank. No injuries observed. Animal also carrying gear (see 29-May-2020 event below). No resights., L6c,L6c,0,-,-,
82,HUWH,E06-20,29-May-20,Not named,"0.1 nm NE of Highlands, NJ",Entangled,Unknown First seen USA,-,Net,Free-swimming with heavy red netting in mouth. Full configuration unknown. Also struck by a vessel earlier in the day (see 29-May-2020 event above). No resights.,L10,L10,0.75,-,Yes,
83,HUWH,E07-20,03-Jun-20,Cashew,"12.6 nm E of Chatham, MA",Entangled,USA,Gear identified,Pot/trap,"Free-swimming with high flyer on rostrum, line through mouth, and over left flipper. Unable to determine full configuration. Partially disentangled. Final configuration unknown. No resights.",L10,L10,0.75,-,Yes,
84,HUWH,-,08-Jun-20,-,"200 yds off Seaside Park, NJ",Vessel strike,USA,Fresh injury or known location,-,Whale breached and landed on 22 ft. stationary vessel. Significant boat damage. No resights., L6c,L6c,0,-,-,
85,HUWH,E09-20,02-Jul-20,-,"5.7 nm E of Chatham, MA",Entangled,Unknown First seen USA,-,Unknown,Free-swimming with line and buoy trailing 75 ft. aft of flukes. Attachment point(s) unknown. No photos. No resights.,L10,L10,0.75,-,-,
86,HUWH,E10-20,12-Jul-20,-,"0.5 nm E of North Truro, MA",Entangled,Unknown First seen USA,-,Unknown,Free-swimming with bullet buoy trailing. Attachment point(s) unknown. No photos. No resights.,L10,L10,0.75,-,-,
87,HUWH,E11-20,24-Jul-20,Tripod,"6.6 nm NW of Race Point, Provincetown, MA",Entangled,USA,Gear identified,Monofilament,Event witnessed. Lactating female struck monofilament rod and reel. Fisher cut line. Line trailing over right fluke but attachment point(s) unknown. Resights confirm gear-free and healing.,L10,L10,0,Gear-free,Yes,
88,HUWH,E12-20,26-Jul-20,Scylla,"17.6 nm SE of Gloucester, MA",Entangled,USA,Fresh injury or known location,Pot/trap,Free-swimming with constricting wrap on right fluke blade. No forward attachment points. One short trailing line and another descending to depth. Partially disentangled—left with non-constricting loop. Resights confirm shed gear and healing.,L2,L3,0,Rescue,Yes,
89,HUWH,E13-20,27-Jul-20,Sailor,"5.8 nm SW of East Atlantic Beach, NY",Entangled,USA,Gear identified,Net,Anchored by flukes in extremely heavy gear including trawl net and braided 1/2 in. steel cable. Gear wrapped both fluke blades and embedded into leading edge. Disentangled. Resights indicate healing.,L2,n/a,0,Rescue,Yes,
90,HUWH,E14-20,02-Aug-20,Spell,"15.5 nm SE of Gloucester, MA",Entangled,USA,Fresh injury or known location,Hook/monofilament,Free-swimming with hook on leading edge of left fluke blade and monofilament trailing. No wraps. Resights confirm shed gear and healing.,"L3, L4","L3, L4",0,-,-,
91,HUWH,MARS2020-293,26-Aug-20,-,"N of Hospital Island, St. Andrews, NB",Entrapped,Canada,Gear identified,Weir,Entrapped in weir for at least 2 days. Released with no apparent injuries. No resights.,L10,n/a,0,Release,-,
